Brand;Product;SKU;Price;Description1;Description2;Description3;Description4;Img_link;Category;Season;Color;Material;Country;Size
Flex;230103;2101;850;Сезон: Осень/весна;Материал: Джинс;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/244-flex-230103.gif;Мужская обувь;Осень/весна;Черный;Джинс;Украина;40|41|42|43|44|45
Flex;532012;2102;995;Сезон: Осень/весна;Материал: Джинс;Страна: Украина;Цвет: Серый;http://menshoes.in.ua/wp-content/uploads/245-flex-532012.gif;Мужская обувь;Осень/весна;Серый;Джинс;Украина;41|42|43|44
Flex;532045;2103;950;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/246-flex-532045.gif;Мужская обувь;Осень/весна;Черный;Замша;Украина;40|41|42|43|44|45
Flex;632053;2104;995;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/247-flex-632053.gif;Мужская обувь;Осень/весна;Синий;Замша;Украина;40|41|42|43|44|45
Flex;717043;2105;1050;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/248-flex-717043.gif;Мужская обувь;Осень/весна;Черный;Замша;Украина;40|41|42|43|44|45
Flex;832093;2106;1095;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/249-Flex-832093.gif;Мужская обувь;Осень/весна;Синий;Замша;Украина;40|41|42|43|44
Flex;836934;2107;995;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/250-flex-836934.gif;Мужская обувь;Осень/весна;Синий;Замша;Украина;41|43
Flex;930793;2108;1095;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/251-flex-930793.gif;Мужская обувь;Осень/весна;Синий;Замша;Украина;40|41|42|43|44|45
Gattini;34071;2201;1250;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/252-gattini-34071.gif;Мужская обувь;Осень/весна;Черный;Замша;Украина;40|41|42|43|44
Ikoc;990-4;513;1550;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/253-ikoc-990-4.gif;Туфли;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44|45
Ikoc;2015-8;514;1550;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Коричневый;http://menshoes.in.ua/wp-content/uploads/254-ikoc-2015-8.gif;Туфли;Осень/весна;Коричневый;Кожа;Украина;40|41|42|43|44
Ikoc;2092-4;515;1550;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/255-ikoc-2092-4.gif;Туфли;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44
Ikoc;2115-4;516;1550;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/256-ikoc-2115-4.gif;Туфли;Осень/весна;Синий;Кожа;Украина;40|41|42|43|44
Ikoc;2115-8;517;1550;Сезон: Осень/весна;Материал: Кожа;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/257-ikoc-2115-8.gif;Туфли;Осень/весна;Черный;Кожа;Украина;40|41|42|43|44
Kadar;2415270;1316;1095;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/258-kadar-2415270.gif;Мокасины;Осень/весна;Черный;Замша;Украина;40|41|42|43|44|45
Kadar;2415339;1317;1095;Сезон: Осень/весна;Материал: Замша;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/260-kadar-2415339.gif;Мокасины;Осень/весна;Синий;Замша;Украина;40|41|42|43|44|45
Cardio;22-blue;2301;995;Сезон: Осень/весна;Материал: Нубук;Страна: Украина;Цвет: Синий;http://menshoes.in.ua/wp-content/uploads/261-kardio-22-blue.gif;Мокасины;Осень/весна;Синий;Нубук;Украина;40|41|42|43|44
Cardio;22-green;2302;995;Сезон: Осень/весна;Материал: Нубук;Страна: Украина;Цвет: Зелёный;http://menshoes.in.ua/wp-content/uploads/262-kardio-22-green.gif;Мокасины;Осень/весна;Зелёный;Нубук;Украина;40|41|42|43|44
Davis;7112-8;811;1350;Сезон: Осень/весна;Материал: Кожа;Страна: Турция;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/242-Davis-7112-8.gif;Мужская обувь;Осень/весна;Черный;Кожа;Турция;41|42|43|44|45
Davis;151315;812;1250;Сезон: Осень/весна;Материал: Кожа;Страна: Турция;Цвет: Черный;http://menshoes.in.ua/wp-content/uploads/243-davis-151315.gif;Мужская обувь;Осень/весна;Черный;Кожа;Турция;40|41|42|43|44|45
